external_player_id,player_name,projection_roles,rejection_reason
3006,Aaron Cunningham,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
4866,Alex Glenn,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
4859,Alonzo Harris,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
5069,Amalani Fukofuka,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
7356305,Andrew Sojka,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
3056,Andy LaRoche,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
4929,Angelys Nina,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
5199,Anthony Aliotti,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
5155,Anthony Seratelli,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
48276,Armando-DUP Alvarez-DUP,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
46470,Axial Plaz,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
4682,Bobby Borchering,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
5185,Brad Boyer,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
3096,Brad Davis,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
5103,Brandon Bednar,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
4765,Brandon Jacobs,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
5162,Brian Fletcher,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
4916,Brian Humphries,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
5025,Brian Ragira,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
4357,Brock Kjeldgaard,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
4248,Bryan Petersen,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
5237,C.J. Ziegler,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
5137,Carlos Talavera,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
4912,Chad Oberacker,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
4917,Chris Lofton,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
5016,Chris Rivera,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
6042,Clint Coulter,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
4987,Cord Sandberg,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
4694,Cory Aldridge,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
7355980,Cris Rodriguez,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
3193,Cristian Guzman,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
5038,Dalton Hicks,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
4855,Danry Vazquez,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
5128,David Denson,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
4404,David Winfree,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
5154,Devin Harris,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
7356389,Devin Ortiz,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
4497,Dorssys Paulino,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
4786,Drew Vettleson,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
3313,Dusty Brown,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
6033,Eddy Julio Martinez,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
43824,Elijah Nunez,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
